model_1.h5,model_2.h5,model_3.h5,model_4.h5,model_5.h5,model_6.h5,model_7.h5,model_8.h5,label
0.9374671,0.34108365,0.10467115,0.96646684,0.86766976,0.75142384,0.80922097,0.81407326,0
0.48840734,0.80410296,0.5064976,0.41832894,0.18088204,0.8068101,0.9449188,0.70352817,0
0.03037339,0.047576528,0.030247627,0.018945292,0.26286468,0.06011974,0.00158649,0.029762618,0
0.34342355,0.08810677,0.051590562,0.11446001,0.12783575,0.15673707,0.4335375,0.25752193,0
0.018698975,0.18762594,0.02216762,0.03563814,0.10034361,0.012683027,0.053209845,0.04594031,0
0.95247906,0.58700836,0.42988974,0.052147556,0.7593044,0.7390821,0.31084824,0.64098907,0
0.0076178894,0.6311087,0.06839048,0.3960979,0.21073629,0.04117221,0.1000388,0.23283209,0
0.74516475,0.9290082,0.71187127,0.49918115,0.7891195,0.24246816,0.64205587,0.6202955,0
0.99803364,0.5303117,0.60398924,0.938084,0.9938637,0.97919357,0.70362234,0.9661709,0
0.0346369,0.1147425,0.21832983,0.0029361886,0.021487845,0.64496565,0.002702442,0.8199629,0
0.037447736,0.010395813,0.16980237,0.008998367,0.027159791,0.027195128,0.003601438,0.031541932,0
0.24434471,0.014351564,0.19241108,0.27209663,0.1729186,0.26009643,0.15357004,0.14063399,0
0.06703256,0.0039297706,0.0017863833,0.012390726,0.004584425,0.009063054,0.010045349,0.0010786925,0
0.03609515,0.006712139,0.00077664043,0.011400548,0.026707508,0.0032329129,0.00013739182,0.0046374346,0
0.28613645,0.021626113,0.50694853,0.11491727,0.009986578,0.03662495,0.00073115184,0.37811643,0
0.74660707,0.0038223607,0.25295132,0.52496076,0.111810125,0.33982238,0.2015232,0.39883032,0
0.53886855,0.8351723,0.2403173,0.09533383,0.1645135,0.041419875,0.34388667,0.6680027,0
0.7415474,0.050553,0.048930198,0.18353307,0.09267873,0.7963104,0.23061126,0.869229,0
0.030177612,0.004348928,0.011628589,0.0006126641,0.0011386473,0.021103278,0.0038965102,0.00042134064,0
0.90149856,0.5236479,0.8323442,0.42298922,0.959452,0.5544225,0.6678771,0.8834475,0
0.9692887,0.28151286,0.8923194,0.112114556,0.67324686,0.9002532,0.9383027,0.77825254,0
0.31965312,0.24459784,0.008427711,0.20037727,0.022041917,0.34208587,0.046390843,0.146201,0
0.03253867,0.01970038,0.02894058,0.0020202661,0.024901649,0.00866684,0.00745282,0.7012775,0
0.04068163,0.05121701,0.00025917304,0.12304841,0.001992847,0.00015963605,0.0013821588,0.0081394045,0
0.6066461,0.07336084,0.03267326,0.18142428,0.33144775,0.55735,0.34716967,0.71479356,0
0.03797725,0.019751273,0.017779788,0.120736465,0.0066059767,0.099978924,0.09024157,0.05643537,0
0.015396626,0.0017851549,0.23189163,0.026194796,0.05591384,0.26062822,0.036739103,0.053530347,0
0.6310576,0.273602,0.12400985,0.14645036,0.07021451,0.09425108,0.24721095,0.65863645,0
0.1575213,0.0066735824,0.010839928,0.015949083,0.012437324,0.019531053,0.0046971724,0.117139384,0
0.5383254,0.036637753,0.047221858,0.39437196,0.025430012,0.010932777,0.27243575,0.3394354,0
0.22605112,0.034710713,0.1839666,0.07580036,0.23738806,0.031756334,0.020083193,0.08720306,0
0.5703307,0.039104536,0.034834858,0.10370954,0.14310987,0.068193786,0.018177513,0.12620889,0
0.38550738,0.67078096,0.09689733,0.26559344,0.17735948,0.6925075,0.63406914,0.23506314,0
0.21113536,0.028082427,0.003929293,0.00805337,0.005421148,0.004122576,0.02592216,0.0003537774,0
0.06668345,0.010317408,0.04489619,0.07567879,0.04478938,0.04457214,0.026845936,0.20898595,0
0.57578,0.6256398,0.29396555,0.25847393,0.61544335,0.6562493,0.8843993,0.81197715,0
0.68924165,0.049305715,0.19248281,0.033310596,0.6372777,0.54952013,0.13815506,0.7800054,0
0.27376723,0.5241537,0.048791792,0.055088636,0.3333951,0.08495263,0.38936213,0.12200406,0
0.20993625,0.027609786,0.04425356,0.13805607,0.19818036,0.6976126,0.201264,0.39873326,0
0.063072026,0.0026934238,0.03668303,0.28033444,0.005784655,0.025163978,0.0013205571,0.22895911,0
0.13207537,0.0043419655,0.014378375,0.0022312803,0.010602685,0.016373485,0.06777376,0.03507793,0
0.84823096,0.3051613,0.5572717,0.04697356,0.46431753,0.23653741,0.3668036,0.11084488,0
0.10663253,0.3509161,0.24689057,0.09373185,0.31218302,0.23182169,0.24696983,0.824098,0
0.57275486,0.17188683,0.69011533,0.42463267,0.59569645,0.7363751,0.89121985,0.39731914,0
0.09800074,0.00131143,0.0010565605,0.09869716,0.12790492,0.069434434,0.01492667,0.05106568,0
0.17436664,0.12612191,0.010926856,0.010672396,0.4299101,0.182537,0.13573165,0.3793849,0
0.13746636,0.55858195,0.6448644,0.26758218,0.53507805,0.046824683,0.8721344,0.29578155,0
